coat_value,1,2,3,4,5,6,7,8,9,10,11,12
A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
C,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
D,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
E,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
F,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
G,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
H,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
,,,,,,,,,,,,
coat_protein,1,2,3,4,5,6,7,8,9,10,11,12
A,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
B,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
C,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
D,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
E,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
F,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
G,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
H,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen,antigen_blank,antigen_blank,antigen_blank
,,,,,,,,,,,,
primary_value,1,2,3,4,5,6,7,8,9,10,11,12
A,10,10,10,10,10,10,10,10,10,10,10,10
B,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
C,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
D,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
E,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625,0.0390625
F,0.009765625,0.009765625,0.009765625,0.009765625,0.009765625,0.009765625,0.009765625,0.009765625,0.009765625,0.009765625,0.009765625,0.009765625
G,0.002441406,0.002441406,0.002441406,0.002441406,0.002441406,0.002441406,0.002441406,0.002441406,0.002441406,0.002441406,0.002441406,0.002441406
H,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
primary_mab,1,2,3,4,5,6,7,8,9,10,11,12
A,mab_1,mab_1,mab_1,mab_2,mab_2,mab_2,mab_3,mab_3,mab_3,mab_blank,mab_blank,mab_blank
B,mab_1,mab_1,mab_1,mab_2,mab_2,mab_2,mab_3,mab_3,mab_3,mab_blank,mab_blank,mab_blank
C,mab_1,mab_1,mab_1,mab_2,mab_2,mab_2,mab_3,mab_3,mab_3,mab_blank,mab_blank,mab_blank
D,mab_1,mab_1,mab_1,mab_2,mab_2,mab_2,mab_3,mab_3,mab_3,mab_blank,mab_blank,mab_blank
E,mab_1,mab_1,mab_1,mab_2,mab_2,mab_2,mab_3,mab_3,mab_3,mab_blank,mab_blank,mab_blank
F,mab_1,mab_1,mab_1,mab_2,mab_2,mab_2,mab_3,mab_3,mab_3,mab_blank,mab_blank,mab_blank
G,mab_1,mab_1,mab_1,mab_2,mab_2,mab_2,mab_3,mab_3,mab_3,mab_blank,mab_blank,mab_blank
H,mab_blank,mab_blank,mab_blank,mab_blank,mab_blank,mab_blank,mab_blank,mab_blank,mab_blank,mab_blank,mab_blank,mab_blank
,,,,,,,,,,,,
secondary,1,2,3,4,5,6,7,8,9,10,11,12
A,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000
B,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000
C,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000
D,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000
E,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000
F,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000
G,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000
H,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000,1 to 5000
,,,,,,,,,,,,
secondary_mab,1,2,3,4,5,6,7,8,9,10,11,12
A,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP
B,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP
C,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP
D,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP
E,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP
F,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP
G,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP
H,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP,HRP
,,,,,,,,,,,,
raw_data_value,1,2,3,4,5,6,7,8,9,10,11,12
A,2.921,2.996,2.94,2.274,2.904,2.942,0.041,0.04,0.042,0.043,0.04,0.041
B,2.919,3.02,3.012,2.971,2.941,2.921,0.04,0.042,0.043,0.042,0.041,0.041
C,2.627,2.641,2.827,2.552,2.342,2.642,0.041,0.043,0.04,0.041,0.042,0.042
D,1.76,1.913,1.841,1.801,1.742,1.644,0.043,0.043,0.043,0.042,0.043,0.042
E,0.783,0.818,0.777,0.805,0.843,0.703,0.042,0.043,0.045,0.042,0.042,0.04
F,0.274,0.261,0.261,0.23,0.242,0.253,0.042,0.043,0.041,0.042,0.04,0.041
G,0.098,0.093,0.098,0.094,0.093,0.093,0.042,0.041,0.041,0.04,0.041,0.041
H,0.051,0.041,0.042,0.043,0.042,0.042,0.04,0.041,0.043,0.041,0.039,0.041
